Player,Squad,Season,Nation,Pos,Age,Goals,Assists,npxG,xA,Shots,Shot_Dist,SoT_p90,Pass_Cmp_Pct,Prg_Pass_Dist_p90,Long_Pass_Cmp_Pct,Touches_p90,Dribbles_Succ_p90,Prg_Carry_Dist_p90,Tackles,Interceptions,Blocks_p90,SCA,GCA_p90,Minutes,Goals_p90,Assists_p90,npxG_p90,xA_p90,Shots_p90,Tackles_p90,Interceptions_p90,SCA_p90,General_Position,x,y,z,Cluster_ID,Role_Probability,Role_Name
Rafael Tolói,Atalanta,2018,ITA,DF,26.0,1.0,2.0,1.8,1.3,21.0,12.4,0.1840490797546012,80.9,423.7914110429448,67.4,73.69325153374233,0.4785276073619632,150.03680981595093,62.0,43.0,2.0245398773006134,30.0,0.1840490797546012,2445.0,0.0368098159509202,0.0736196319018405,0.0662576687116564,0.0478527607361963,0.7730061349693252,2.282208588957056,1.5828220858895707,1.1042944785276074,Defender,4.3867745,5.082588,2.4489603,3,0.9716534910382264,Progressive Defender
Mikel Balenziaga,Athletic Club,2018,ESP,DF,29.0,0.0,2.0,0.2,0.8,3.0,18.7,0.0,74.7,185.86830213040676,43.5,56.30083925112976,0.697224015493867,75.53260167850226,42.0,24.0,2.207876049063912,16.0,0.1162040025823111,1549.0,0.0,0.1162040025823111,0.0116204002582311,0.0464816010329244,0.1743060038734667,2.4402840542285347,1.394448030987734,0.9296320206584892,Defender,1.8464023,4.5581093,3.719226,2,0.9993544427406912,Conservative Defender
Aymeric Laporte,Athletic Club,2018,ESP,DF,23.0,0.0,1.0,0.6,0.5,7.0,9.5,0.1052631578947368,83.5,395.8421052631579,72.8,61.89473684210527,0.0526315789473684,109.6315789473684,41.0,21.0,1.3157894736842104,10.0,0.1052631578947368,1710.0,0.0,0.0526315789473684,0.031578947368421,0.0263157894736842,0.368421052631579,2.1578947368421053,1.105263157894737,0.5263157894736842,Defender,5.4677296,5.302361,1.5269861,3,0.9863751558433054,Progressive Defender
Iñigo Lekue,Athletic Club,2018,ESP,"DF,FW",24.0,0.0,1.0,0.7,1.5,19.0,26.0,0.1705352913311227,75.4,246.63666508763615,51.9,61.35007105637138,1.7479867361440071,137.238275698721,60.0,28.0,1.705352913311227,47.0,0.0852676456655613,2111.0,0.0,0.0426338228327806,0.0298436759829464,0.063950734249171,0.8100426338228328,2.55802936996684,1.1937470393178589,2.003789673140692,Defender,1.5472308,4.985689,2.8539894,2,0.958621293918152,Conservative Defender
Óscar de Marcos,Athletic Club,2018,ESP,"DF,MF",28.0,1.0,2.0,1.4,1.8,15.0,17.1,0.3799758745476477,73.9,219.51749095295537,50.8,55.0422195416164,0.5971049457177322,90.65138721351023,25.0,13.0,1.2484921592279854,35.0,0.2171290711700844,1658.0,0.0542822677925211,0.1085645355850422,0.0759951749095295,0.097708082026538,0.8142340168878167,1.3570566948130278,0.7056694813027744,1.8998793727382388,Defender,0.51698226,2.7576993,4.5702295,2,1.0,Conservative Defender
Iñigo Martínez,Athletic Club,2018,ESP,DF,26.0,0.0,0.0,0.4,0.4,10.0,12.3,0.1875,75.5,385.1875,63.1,58.6875,0.1875,141.3125,22.0,23.0,1.1875,7.0,0.0625,1440.0,0.0,0.0,0.025,0.025,0.625,1.375,1.4375,0.4375,Defender,7.1818266,5.5874414,2.123015,4,0.9993464100229704,Commanding Center Back
Unai Núñez,Athletic Club,2018,ESP,DF,20.0,1.0,0.0,2.6,0.3,21.0,8.1,0.0612036722203332,81.3,286.0659639578375,69.4,55.84835090105407,0.3366201972118327,134.4644678680721,64.0,64.0,2.172730363821829,14.0,0.0612036722203332,2941.0,0.0306018361101666,0.0,0.0795647738864331,0.0091805508330499,0.6426385583134988,1.9585175110506632,1.9585175110506632,0.4284257055423325,Defender,4.390609,5.8568172,3.609352,1,0.951795947244705,Stopper / No-Nonsense CB
Enric Saborit,Athletic Club,2018,ESP,DF,25.0,0.0,1.0,0.3,0.6,6.0,21.2,0.1260504201680672,74.0,196.82773109243692,57.0,53.0672268907563,0.315126050420168,81.17647058823529,39.0,24.0,1.953781512605042,15.0,0.1260504201680672,1428.0,0.0,0.0630252100840336,0.01890756302521,0.0378151260504201,0.3781512605042016,2.457983193277311,1.512605042016807,0.9453781512605044,Defender,2.2196388,5.3742714,3.3697445,1,0.5148145341616803,Stopper / No-Nonsense CB
Diego Godín,Atlético Madrid,2018,URU,DF,31.0,0.0,0.0,1.5,0.3,15.0,9.1,0.1761942051683633,84.3,327.22787783868444,70.7,53.45732184808144,0.105716523101018,82.98747063429914,49.0,46.0,1.480031323414252,15.0,0.0352388410336726,2554.0,0.0,0.0,0.052858261550509,0.0105716523101018,0.5285826155050901,1.726703210649961,1.6209866875489427,0.5285826155050901,Defender,6.484502,5.8338966,3.1374326,4,0.9988433561020976,Commanding Center Back
Lucas Hernández,Atlético Madrid,2018,FRA,DF,21.0,0.0,1.0,0.8,0.5,9.0,15.2,0.0425330812854442,78.9,228.70037807183363,44.8,57.16446124763705,0.5954631379962193,103.4829867674858,78.0,28.0,2.2542533081285443,16.0,0.0850661625708884,2116.0,0.0,0.0425330812854442,0.0340264650283553,0.0212665406427221,0.3827977315689981,3.31758034026465,1.1909262759924386,0.6805293005671078,Defender,1.7685833,4.737884,2.5577502,2,0.9951453734863008,Conservative Defender
Juanfran,Atlético Madrid,2018,ESP,DF,32.0,0.0,1.0,0.1,0.8,3.0,27.0,0.0,80.2,247.06962509563888,41.4,54.399387911247125,0.5508798775822494,92.54781943381788,27.0,20.0,2.5478194338179034,21.0,0.2754399387911247,1307.0,0.0,0.0688599846977811,0.0068859984697781,0.0550879877582249,0.2065799540933435,1.859219586840092,1.3771996939556237,1.4460596786534046,Defender,2.4639242,3.7333453,4.1378317,2,0.9999998943093428,Conservative Defender
Filipe Luís,Atlético Madrid,2018,BRA,DF,31.0,1.0,2.0,0.2,1.4,5.0,21.1,0.1084990958408679,80.2,323.92405063291136,49.6,74.15913200723327,1.35623869801085,153.63471971066906,62.0,25.0,2.820976491862568,31.0,0.2712477396021699,1659.0,0.0542495479204339,0.1084990958408679,0.0108499095840868,0.0759493670886075,0.2712477396021699,3.3634719710669074,1.35623869801085,1.6817359855334535,Defender,2.2984328,4.3729787,2.6422107,2,0.9999253851039696,Conservative Defender
José María Giménez,Atlético Madrid,2018,URU,DF,22.0,1.0,1.0,1.3,0.1,15.0,11.9,0.1065088757396449,76.2,298.9704142011834,56.4,52.295857988165686,0.2662721893491124,57.88757396449704,29.0,24.0,2.0236686390532546,6.0,0.1065088757396449,1690.0,0.0532544378698224,0.0532544378698224,0.0692307692307692,0.0053254437869822,0.7988165680473372,1.544378698224852,1.2781065088757395,0.3195266272189349,Defender,2.5181818,3.599812,4.6646824,2,0.99999999203151,Conservative Defender
Stefan Savić,Atlético Madrid,2018,MNE,DF,26.0,0.0,0.0,0.1,0.2,5.0,11.8,0.039147455415398,80.5,243.1056981296216,63.4,49.20835145715529,0.039147455415398,71.09177903436276,28.0,39.0,1.76163549369291,6.0,0.0,2299.0,0.0,0.0,0.0039147455415398,0.0078294910830796,0.19573727707699,1.096128751631144,1.526750761200522,0.234884732492388,Defender,6.1027803,5.3097906,3.93427,4,0.999887886081402,Commanding Center Back
Šime Vrsaljko,Atlético Madrid,2018,CRO,"DF,MF",25.0,0.0,4.0,0.2,1.6,4.0,13.6,0.0,68.6,219.16273584905665,35.3,56.93985849056603,0.3714622641509434,82.35849056603774,44.0,23.0,1.963443396226415,19.0,0.2122641509433962,1696.0,0.0,0.2122641509433962,0.0106132075471698,0.0849056603773584,0.2122641509433962,2.3349056603773586,1.2205188679245282,1.008254716981132,Defender,1.1745213,4.255811,4.2000775,2,0.9999873525776456,Conservative Defender
Kevin Danso,Augsburg,2018,AUT,DF,18.0,2.0,0.0,2.0,0.4,9.0,9.0,0.3257918552036199,69.6,250.20814479638008,52.7,56.932126696832576,0.7330316742081449,103.1945701357466,17.0,14.0,2.1990950226244346,15.0,0.0814479638009049,1105.0,0.1628959276018099,0.0,0.1628959276018099,0.0325791855203619,0.7330316742081449,1.3846153846153846,1.1402714932126696,1.2217194570135748,Defender,1.9516634,3.1911519,4.4102607,2,0.9999999999666698,Conservative Defender
Jeffrey Gouweleeuw,Augsburg,2018,NED,DF,26.0,0.0,0.0,1.0,0.4,15.0,13.3,0.0754716981132075,77.5,366.2641509433962,61.0,55.320754716981135,0.4528301886792452,100.30188679245283,47.0,40.0,1.660377358490566,18.0,0.0,2385.0,0.0,0.0,0.0377358490566037,0.0150943396226415,0.5660377358490566,1.7735849056603774,1.509433962264151,0.6792452830188679,Defender,4.501302,6.3120923,4.0557194,1,0.998551754596705,Stopper / No-Nonsense CB
Martin Hinteregger,Augsburg,2018,AUT,DF,24.0,0.0,0.0,2.5,0.3,26.0,18.0,0.1016949152542373,77.1,332.1016949152542,57.8,56.37288135593221,0.135593220338983,109.72881355932203,62.0,34.0,1.8983050847457628,18.0,0.0338983050847457,2655.0,0.0,0.0,0.0847457627118644,0.0101694915254237,0.8813559322033898,2.101694915254237,1.152542372881356,0.6101694915254237,Defender,2.2702897,4.13956,2.915581,2,0.9999943779434948,Conservative Defender
Philipp Max,Augsburg,2018,GER,DF,23.0,2.0,12.0,1.1,8.8,19.0,23.2,0.2129097668131125,65.8,357.5971612031091,43.3,59.58431902669821,0.3345724907063196,84.06894221020616,58.0,19.0,0.9124704291990536,110.0,0.425819533626225,2959.0,0.0608313619466035,0.3649881716796215,0.0334572490706319,0.2676579925650558,0.577897938492734,1.7641094964515038,0.577897938492734,3.345724907063197,Defender,0.39018744,2.9046898,4.568976,2,1.0,Conservative Defender
Daniel Opare,Augsburg,2018,GHA,"DF,MF",26.0,0.0,0.0,0.1,0.6,5.0,34.0,0.0635144671841919,60.0,270.317572335921,40.6,49.92237120677488,1.5878616796047988,86.44318983768525,28.0,23.0,1.5878616796047988,20.0,0.0,1417.0,0.0,0.0,0.0063514467184191,0.0381086803105151,0.3175723359209598,1.7784050811573748,1.4608327452364152,1.2702893436838392,Defender,1.1860564,4.4270577,4.7463217,2,0.9999698280229808,Conservative Defender
Jonathan Schmid,Augsburg,2018,FRA,"DF,FW",27.0,0.0,0.0,1.4,2.0,23.0,20.1,0.4276985743380855,71.5,236.76171079429736,53.1,48.63543788187372,0.6109979633401222,59.08350305498982,26.0,7.0,1.7718940936863543,42.0,0.0,1473.0,0.0,0.0,0.0855397148676171,0.1221995926680244,1.405295315682281,1.5885947046843178,0.4276985743380855,2.5661914460285136,Defender,1.1623695,2.7880204,4.433147,2,0.9999999999999964,Conservative Defender
Jordi Alba,Barcelona,2018,ESP,DF,28.0,2.0,8.0,2.2,4.3,15.0,14.4,0.1639941690962099,85.9,362.3943148688047,63.8,85.57215743440233,0.6231778425655977,121.78206997084548,45.0,61.0,2.230320699708455,57.0,0.3607871720116618,2744.0,0.0655976676384839,0.2623906705539358,0.0721574344023323,0.1410349854227405,0.4919825072886297,1.475947521865889,2.000728862973761,1.869533527696793,Defender,4.5102005,5.274868,3.0883205,3,0.957102398253537,Progressive Defender
Gerard Piqué,Barcelona,2018,ESP,DF,30.0,2.0,0.0,3.0,1.0,17.0,9.4,0.1709726443768997,89.1,355.24696048632217,77.7,71.56914893617021,0.1367781155015197,175.5547112462006,30.0,35.0,1.641337386018237,17.0,0.0341945288753799,2632.0,0.0683890577507598,0.0,0.1025835866261398,0.0341945288753799,0.581306990881459,1.0258358662613982,1.196808510638298,0.581306990881459,Defender,7.1490707,4.4170375,1.8288636,0,0.9021584925106856,Ball Playing Defender
